Time,MT1,MT2,MQF,FROX,FROY,FROZ,MROX,MROY,MROZ
300.0,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
1212.9599999999625,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
1512.9599999999625,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
2425.919999999925,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
2725.919999999925,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
3638.879999999888,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
3938.8799999998873,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
4851.83999999985,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
5151.83999999985,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
6064.799999999813,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
6364.799999999812,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
7277.759999999774,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
7577.759999999775,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
8490.719999999736,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
8790.719999999737,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
9703.679999999698,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
10003.679999999698,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
10916.639999999661,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
11216.639999999661,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
12129.599999999624,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
12429.599999999624,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
13342.559999999587,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
13642.559999999587,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
14555.519999999548,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
14855.519999999548,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
15768.47999999951,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
16068.479999999508,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
16981.43999999947,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
17281.43999999947,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
18194.399999999434,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
18494.399999999434,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
19407.359999999397,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
19707.359999999397,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
20620.31999999936,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
20920.31999999936,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
21833.279999999322,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
22133.279999999322,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
23046.239999999285,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
23346.239999999285,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
24259.199999999248,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
24559.199999999244,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
25472.15999999921,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
25772.159999999207,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
26685.119999999173,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
26985.11999999917,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
27898.079999999132,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
28198.079999999132,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
29111.039999999095,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
29411.0399999991,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
30323.99999999906,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
30623.999999999065,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
31536.959999999028,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
31836.959999999028,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
32749.919999998994,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
33049.919999998994,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
33962.87999999896,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
34262.87999999896,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
35175.83999999893,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
35475.83999999893,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
36388.79999999889,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
36688.79999999889,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
37601.75999999885,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
37901.75999999886,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
38814.71999999882,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
39114.71999999882,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
40027.679999998785,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
40327.679999998785,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
41240.63999999875,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
41540.639999998755,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
42453.59999999872,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
42753.59999999872,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
43666.55999999868,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
43966.55999999869,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
44879.51999999865,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
45179.51999999865,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
46092.47999999861,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
46392.47999999861,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
47305.439999998576,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
47605.43999999858,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
48518.399999998546,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
48818.399999998546,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
49731.35999999851,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
50031.35999999851,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
50944.31999999848,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
51244.31999999848,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
52157.27999999844,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
52457.27999999844,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
53370.239999998405,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
53670.23999999841,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
54583.199999998375,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
54883.199999998375,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
55796.15999999834,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
56096.15999999834,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
57009.1199999983,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
57309.11999999831,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
58222.07999999827,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
58522.07999999826,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
59435.03999999822,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
59735.03999999822,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
60647.999999998174,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
60947.99999999817,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
61860.95999999813,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
62160.95999999812,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
63073.91999999808,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
63373.91999999808,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
64286.87999999803,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
64586.879999998026,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
65499.83999999799,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
65799.83999999797,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
66712.79999999794,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
67012.79999999794,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
67925.75999999788,297.5,297.5,35.0,11.1111111111111,-422.222222222222,25000.0,4750.0,-7500.0,-3500.0
68225.75999999788,555.0,555.0,225.714285714286,900.0,-1533.33333333333,29500.0,3500.0,-13000.0,7000.0
68525.75999999788,555.0,555.0,226.0,1000.0,-1790.0,30500.0,3250.0,-13000.0,4000.0
72125.75999999788,5.0,5.0,5.0,400.0,300.0,24000.0,4937.5,500.0,-2500.0
72425.75999999788,555.0,552.5,220.0,1000.0,-1750.0,30000.0,3375.0,-13000.0,4000.0
74972.25599999788,5.0,12.5,5.0,500.0,235.714285714286,25000.0,4500.0,500.0,-1142.85714285714
75272.25599999788,555.0,545.0,215.0,825.0,-1500.0,29500.0,3500.0,-13000.0,6500.0
78872.25599999788,5.0,15.0,10.0,575.0,-800.0,25125.0,4250.0,0.0,-1000.0
79357.53599999787,552.5,545.0,196.785714285714,800.0,-1500.0,29000.0,3500.0,-12500.0,6500.0
82957.53599999787,5.0,20.0,10.0,654.545454545455,-850.0,25500.0,4250.0,0.0,-636.363636363636
85323.31199999788,545.0,542.5,215.625,800.0,-1500.0,29000.0,3555.55555555556,-13000.0,6500.0
88923.31199999788,12.5,40.0,10.0,733.333333333333,-900.0,25500.0,4500.0,0.0,-166.666666666667
89223.31199999787,545.0,542.5,162.5,800.0,-1444.73684210526,28842.1052631579,3750.0,-12500.0,6000.0
92823.31199999787,15.0,40.0,10.0,800.0,-900.0,25500.0,4250.0,-500.0,1500.0
93212.54399999787,542.5,542.5,216.666666666667,1000.0,-1716.66666666667,29500.0,3500.0,-12500.0,4000.0
93988.41599999787,542.5,540.0,202.5,660.0,-1335.0,28500.0,3750.0,-12500.0,-1000.0
94288.41599999787,542.5,540.0,160.0,2000.0,-1550.0,30000.0,-5458.33333333333,-13000.0,11500.0
94613.56799999787,540.0,537.5,155.833333333333,563.636363636364,-1190.90909090909,28000.0,3750.0,-13000.0,-1454.54545454545
98213.56799999787,40.0,55.0,10.0,1000.0,-1100.0,26000.0,4138.88888888889,-500.0,3000.0
101813.56799999787,537.5,535.0,162.307692307692,1733.33333333333,-1527.77777777778,30000.0,3750.0,-12500.0,11000.0
102582.52799999791,537.5,535.0,189.0,1000.0,-1700.0,29500.0,3750.0,-13000.0,3500.0
106182.52799999791,40.0,55.0,5.0,1075.0,-1100.0,26000.0,3975.0,-1000.0,3000.0
106482.5279999979,537.5,535.0,133.076923076923,892.307692307692,-1619.23076923077,28500.0,3750.0,-12500.0,2653.84615384615
107203.1039999979,535.0,535.0,163.75,868.75,-1546.875,28437.5,-5250.0,-13000.0,3500.0
108007.48799999786,52.5,57.5,15.0,100.0,-805.555555555556,25000.0,5050.0,-1100.0,-8055.55555555556
108307.48799999786,535.0,535.0,152.142857142857,700.0,-1600.0,30500.0,-3557.69230769231,-12500.0,1500.0
108607.48799999786,52.5,60.0,15.0,300.0,-950.0,25500.0,5250.0,-1000.0,-7000.0
110611.39199999784,535.0,535.0,208.333333333333,800.0,-1625.0,28500.0,3750.0,-13000.0,4000.0
110911.39199999782,55.0,62.5,10.0,1100.0,-1100.0,26000.0,5125.0,-1000.0,3500.0
111868.55999999789,535.0,535.0,187.5,927.272727272727,-1195.45454545455,29000.0,-3500.0,-13500.0,4681.81818181818
113689.58399999786,55.0,67.5,10.0,300.0,-1006.25,26000.0,-3500.0,-1000.0,-7000.0
117289.58399999786,535.0,535.0,190.0,1020.0,-1640.0,29000.0,-3750.0,-13500.0,3500.0
118340.92799999792,535.0,535.0,188.666666666667,1000.0,-1221.42857142857,29000.0,4000.0,-13000.0,5000.0
118722.67199999787,57.5,67.5,10.0,100.0,-850.0,25000.0,5000.0,-1545.45454545455,-8000.0
120307.96799999783,60.0,75.0,15.0,1100.0,-1100.0,26818.1818181818,4750.0,-1500.0,3500.0
120634.70399999787,532.5,532.5,174.0,850.0,-1600.0,28500.0,-3750.0,-13666.6666666667,3500.0
121640.6879999978,65.0,82.5,10.0,133.333333333333,-850.0,25000.0,4750.0,-1500.0,-7500.0
121974.62399999778,532.5,532.5,180.789473684211,822.222222222222,-1416.66666666667,28027.7777777778,3670.45454545455,-12500.0,3000.0
124897.5359999978,532.5,530.0,182.0,600.0,-1507.14285714286,29500.0,3500.0,-13000.0,1000.0
127125.93599999782,67.5,85.0,10.0,200.0,-883.333333333333,25500.0,4750.0,-1500.0,-6833.33333333333
128464.84799999783,75.0,87.5,15.0,200.0,-850.0,25500.0,4750.0,-1500.0,-7500.0
132064.84799999782,530.0,530.0,108.571428571429,1600.0,-1487.5,29500.0,-5125.0,-13000.0,11000.0
135664.84799999782,75.0,87.5,5.0,200.0,-900.0,25500.0,5000.0,-2000.0,-6000.0
135998.3519999979,530.0,530.0,153.0,600.0,-1500.0,29500.0,3750.0,-12500.0,500.0
137261.6639999978,75.0,92.5,10.0,225.0,-900.0,25500.0,4750.0,-2000.0,-5500.0
140861.6639999978,530.0,530.0,170.0,1140.0,-1510.0,29000.0,-3500.0,-13500.0,6500.0
144461.6639999978,85.0,92.5,10.0,300.0,-900.0,25500.0,4750.0,-2000.0,-5000.0
144965.23199999775,85.0,100.0,10.0,400.0,-1135.0,26450.0,5083.33333333333,-2000.0,-6500.0
145265.23199999778,530.0,527.5,149.444444444444,600.0,-1466.66666666667,29000.0,-3500.0,-13500.0,500.0
146025.6959999978,85.0,100.0,15.0,300.0,-900.0,25500.0,5000.0,-2000.0,-4250.0
146515.7279999978,527.5,527.5,150.0,766.666666666667,-1372.22222222222,28500.0,-4800.0,-13000.0,2000.0
146815.72799999782,87.5,102.5,10.0,1100.0,-1128.57142857143,27500.0,5000.0,-2000.0,3500.0
147406.84799999782,527.5,527.5,168.0,1200.0,-1550.0,29000.0,-3339.28571428571,-12500.0,6500.0
151006.84799999782,87.5,105.0,15.0,33.3333333333333,-783.333333333333,24250.0,4750.0,-2214.28571428571,-8500.0
152137.53599999778,527.5,527.5,150.833333333333,1085.71428571429,-1471.42857142857,29000.0,4000.0,-13000.0,6000.0
152899.43999999788,92.5,107.5,10.0,100.0,-800.0,25000.0,-3562.5,-2000.0,-8000.0
155741.85599999785,527.5,525.0,167.0,816.666666666667,-1304.16666666667,28000.0,3312.5,-13000.0,2416.66666666667
156041.85599999785,92.5,120.0,10.0,1100.0,-1187.5,28000.0,5000.0,-2500.0,3500.0
158263.1999999979,527.5,525.0,181.25,966.666666666667,-1600.0,30000.0,3250.0,-13000.0,2166.66666666667
158931.07199999786,525.0,525.0,133.333333333333,800.0,-1700.0,29000.0,3800.0,-12500.0,2500.0
159231.07199999786,100.0,122.5,10.0,400.0,-1194.44444444444,26500.0,5000.0,-2500.0,-6500.0
161766.4799999978,525.0,525.0,291.818181818182,600.0,-1450.0,28500.0,-4750.0,-12500.0,500.0
163481.51999999784,105.0,122.5,7.14285714285714,1133.33333333333,-1250.0,28166.6666666667,-3750.0,-2166.66666666667,3500.0
165737.42399999782,525.0,525.0,65.0,1000.0,-1400.0,29000.0,3916.66666666667,-12500.0,5000.0
169337.42399999782,107.5,125.0,10.0,300.0,-915.0,26000.0,5000.0,-2500.0,-3900.0
169637.42399999785,107.5,127.5,10.0,1200.0,-1270.0,28800.0,5000.0,-3000.0,4000.0
169964.15999999788,525.0,525.0,165.0,600.0,-1450.0,28500.0,3750.0,-12500.0,500.0
171848.68799999793,110.0,127.5,10.0,400.0,-1200.0,26500.0,5000.0,-3000.0,-6000.0
172148.68799999793,525.0,525.0,149.444444444444,800.0,-1487.5,30000.0,-4535.71428571429,-12500.0,9000.0
173458.51199999783,120.0,135.0,14.0,-28.5714285714286,250.0,24000.0,4750.0,-2875.0,-9000.0
173837.3759999979,525.0,525.0,150.0,600.0,-1450.0,28500.0,4437.5,-13500.0,0.0
175861.58399999788,120.0,140.0,15.0,333.333333333333,-950.0,26000.0,4900.0,-3000.0,-3500.0
179461.58399999788,525.0,522.5,162.142857142857,1000.0,-1400.0,29000.0,-5450.0,-12500.0,5000.0
181720.2239999979,122.5,140.0,10.0,14.2857142857143,214.285714285714,24428.5714285714,4861.11111111111,-3166.66666666667,-8500.0
182130.47999999792,525.0,522.5,160.0,1000.0,-1420.0,29000.0,3500.0,-13000.0,5600.0
185536.51199999783,127.5,142.5,10.0,150.0,-841.666666666667,25000.0,4583.33333333333,-3083.33333333333,-8000.0
187477.34399999777,135.0,142.5,10.0,100.0,200.0,24500.0,4500.0,-3500.0,-8500.0
190243.72799999782,140.0,150.0,15.0,400.0,-950.0,26000.0,5000.0,-3500.0,-3000.0
192661.1999999979,522.5,522.5,146.25,1188.88888888889,-1666.66666666667,29500.0,-3312.5,-13500.0,4888.88888888889
192961.1999999979,140.0,155.0,10.0,400.0,-955.555555555556,26000.0,4750.0,-3500.0,-2277.77777777778
196561.1999999979,522.5,522.5,82.2727272727273,900.0,-1575.0,30000.0,2000.0,-11500.0,1500.0
197608.51199999804,142.5,155.0,10.0,200.0,-850.0,25000.0,4750.0,-3892.85714285714,-8000.0
198860.87999999805,142.5,155.0,10.0,100.0,160.0,24500.0,4750.0,-3500.0,-8500.0
202460.87999999805,522.5,522.5,155.0,850.0,-1385.0,28000.0,-4937.5,-12500.0,2500.0
206060.87999999805,150.0,155.0,10.0,400.0,-1200.0,26500.0,5000.0,-4045.45454545455,-6000.0
207228.57599999805,522.5,522.5,152.5,900.0,-1283.33333333333,29000.0,3708.33333333333,-12500.0,3500.0
210828.57599999805,150.0,155.0,14.375,200.0,-850.0,25000.0,4750.0,-3500.0,-7500.0
211495.5839999982,522.5,522.5,158.75,928.571428571429,-1350.0,29000.0,3750.0,-12500.0,4285.71428571429
211795.58399999823,155.0,155.0,10.0,400.0,-1230.0,26500.0,4500.0,-4000.0,-5500.0
215182.31999999803,522.5,522.5,140.0,880.0,-1550.0,30000.0,4750.0,-13500.0,1000.0
218782.31999999803,155.0,155.0,10.0,200.0,25.0,25000.0,4678.57142857143,-4000.0,-7500.0
222382.31999999803,522.5,520.0,160.0,900.0,-1150.0,28500.0,-4428.57142857143,-12500.0,4500.0
224751.26399999793,155.0,160.0,10.0,140.0,110.0,25000.0,4750.0,-3500.0,-8100.0
225403.87199999794,520.0,520.0,56.4285714285714,636.363636363636,-1186.36363636364,28068.1818181818,4125.0,-13000.0,1500.0
229003.87199999794,155.0,162.5,10.0,200.0,-50.0,25000.0,4750.0,-3500.0,-6750.0
229303.87199999794,520.0,520.0,140.0,900.0,-1150.0,28500.0,4000.0,-12500.0,4500.0
232903.8719999979,155.0,165.0,10.0,400.0,-1250.0,26500.0,4500.0,-4000.0,-5500.0
236503.8719999979,520.0,520.0,129.0,760.0,-1670.0,29000.0,-4035.71428571429,-12500.0,2000.0
240103.8719999979,157.5,165.0,5.0,220.0,-130.0,25400.0,4500.0,-4000.0,-6000.0
243703.8719999979,160.0,167.5,5.0,263.636363636364,-900.0,25000.0,4500.0,-4000.0,-7500.0
247303.8719999979,160.0,167.5,10.0,300.0,-190.0,25500.0,4500.0,-4000.0,-5500.0
248431.39199999796,520.0,520.0,50.0,500.0,-1350.0,28000.0,4227.27272727273,-12454.5454545455,-1000.0
252031.39199999796,165.0,170.0,11.0,300.0,-287.5,25500.0,6000.0,-4000.0,-5000.0
